Feature ID	Taxon
AB219395.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Saprolegniales;f__Saprolegniaceae;g__Saprolegnia;s__Saprolegnia_semihypogyna
AB285486.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Pythiales;f__Lagenidiaceae;g__Salilagenidium;s__Salilagenidium_callinectes
AB285502.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Pythiales;f__Haliphthoraceae;g__Haliphthoros;s__Haliphthoros_milfordensis
AB285521.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Pythiales;f__Haliphthoraceae;g__Halocrusticida;s__Halocrusticida_parasitica
AB458661.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Pythiales;f__Pythiaceae;g__Pilasporangium;s__Pilasporangium_apinafurcum
AB510348.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Saprolegniales;f__Verrucalvaceae;g__Aphanomyces;s__Aphanomyces_salsuginosus
AB531971.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Saprolegniales;f__Verrucalvaceae;g__Aphanomyces;s__Aphanomyces_sinensis
AB690622.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Pythiales;f__Pythiaceae;g__Phytopythium;s__Phytopythium_iriomotense
AB998876.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Pythiales;f__Pythiaceae;g__Globisporangium;s__Globisporangium_alternatum
AB998878.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Pythiales;f__Pythiaceae;g__Pythium;s__Pythium_rishiriense
AF266793.2	k__unidentified;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Phytophthora;s__Phytophthora_lacustris
AY151183.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Pythiales;f__Pythiaceae;g__Lagenidium;s__Lagenidium_giganteum
AY198229.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Peronospora;s__Peronospora_meliloti
AY198240.3	k__unidentified;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Peronospora;s__Peronospora_violae
AY198241.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Peronospora;s__Peronospora_grisea
AY198244.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Peronospora;s__Peronospora_arvensis
AY198246.3	k__unidentified;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Peronospora;s__Peronospora_conglomerata
